image_name,x1,x2,y1,y2
,76.46509,558.0904,96.2754,381.44077
,216.30179,448.73615,97.91584,378.83276
,195.76761,464.7941,97.647606,379.23145
,171.50906,483.76428,97.221664,379.76514
,66.10809,566.1886,95.64132,381.92856
,69.58495,563.47003,95.85418,381.7648
,213.8244,450.6758,98.927666,378.28076
,68.776855,564.10187,95.8047,381.80286
,114.906075,528.03326,98.62885,379.63046
,21.67676,600.92957,92.92112,384.02097
,240.15942,430.08282,99.82837,377.44952
,97.83302,541.38275,97.5836,380.43448
,87.48818,549.47144,96.95026,380.92166
,179.77527,477.29468,94.941086,380.9774
,21.67676,600.92957,92.92112,384.02097
,82.32006,553.5124,96.63386,381.16504
,86.65586,550.12225,96.8993,380.96088
,96.632095,542.3218,97.51007,380.49106
,148.70496,501.59875,97.53982,379.85385
,206.41615,456.4686,98.59426,378.5606
,114.70551,528.1901,98.61658,379.6399
,59.215313,571.57806,95.21933,382.25314
,128.55183,517.36365,99.46429,378.98782
,185.11758,473.123,97.707275,379.32397
,183.20372,474.61786,96.86671,379.82986
,213.03006,451.29477,97.91742,378.87085
,269.61542,407.04996,101.14625,376.34137
,68.58441,564.2523,95.79292,381.81192
,152.18109,498.88785,100.91093,377.87503
,21.67676,600.92957,92.92112,384.02097
,21.67676,600.92957,92.92112,384.02097
,21.67676,600.92957,92.92112,384.02097
,198.9197,462.3319,98.92483,378.4599
,83.61722,552.49817,96.71327,381.10397
,100.16833,539.5568,97.72658,380.3245
,69.933266,563.1977,95.8755,381.74838
,78.94706,556.1498,96.42735,381.3239
,21.67676,600.92957,92.92112,384.02097
,172.30054,483.14218,95.81641,380.56332
,21.67676,600.92957,92.92112,384.02097
,21.67676,600.92957,92.92112,384.02097
,21.67676,600.92957,92.92112,384.02097
,157.892,494.40982,95.632385,380.84067
,47.36692,580.8424,94.493935,382.81113
,217.37141,447.90854,101.877556,376.5432
,21.67676,600.92957,92.92112,384.02097
,21.67676,600.92957,92.92112,384.02097
,277.70215,400.72855,102.37102,375.54114
,197.90862,463.12854,101.57019,376.95163
,21.67676,600.92957,92.92112,384.02097
,112.87705,529.6198,98.50463,379.726
,175.5912,480.56747,95.26506,380.841
,91.25603,546.5253,97.18094,380.74423
,21.67676,600.92957,92.92112,384.02097
,58.41523,572.2037,95.17034,382.2908
,238.20775,431.61124,100.80741,376.9101
,201.77875,460.09628,99.03835,378.3606
,45.929512,581.9663,94.40594,382.8788
,78.768326,556.2895,96.41641,381.3323
,21.67676,600.92957,92.92112,384.02097
,184.1505,473.89087,102.86818,376.3695
,101.92376,538.1842,97.83404,380.24185
,104.27241,536.3478,97.97784,380.13123
,72.68797,561.04376,96.04415,381.61868
,146.59467,503.25244,99.027504,379.024
,21.67676,600.92957,92.92112,384.02097
,168.56026,486.06808,96.20397,380.38513
,21.67676,600.92957,92.92112,384.02097
,45.008095,582.6867,94.34952,382.9222
,91.57056,546.2794,97.20019,380.7294
,134.01955,513.08844,99.79903,378.73035
,130.25687,516.03046,99.56867,378.90753
,84.623955,551.711,96.77491,381.05655
,131.29855,515.21594,99.63245,378.85846
,21.67676,600.92957,92.92112,384.02097
,211.17184,452.75137,99.437836,378.01917
,21.67676,600.92957,92.92112,384.02097
,213.4253,450.98688,98.46888,378.5492
,56.04457,574.05725,95.02521,382.40247
,21.67676,600.92957,92.92112,384.02097
,196.71121,464.05627,97.69418,379.19345
,54.019695,575.64056,94.90124,382.49783
,132.4038,514.3518,99.70011,378.80643
,21.67676,600.92957,92.92112,384.02097
,85.04784,551.3795,96.80085,381.03662
,21.67676,600.92957,92.92112,384.02097
,77.389366,557.36774,96.331985,381.39725
,115.85422,527.29193,98.6869,379.5858
,189.8897,469.39264,98.44661,378.84225
,84.23543,552.0148,96.75112,381.07486
,44.156593,583.35254,94.29739,382.9623
,166.54132,487.64255,94.23928,381.5383
,264.93445,410.71188,101.676155,376.09253
,90.888,546.8131,97.15841,380.76157
,21.67676,600.92957,92.92112,384.02097
,21.67676,600.92957,92.92112,384.02097
,79.09273,556.0359,96.43627,381.31705
,61.083294,570.1175,95.33369,382.16516
,21.67676,600.92957,92.92112,384.02097
,48.543922,579.92206,94.565994,382.75568
,92.54722,545.51575,97.25999,380.6834
,21.67676,600.92957,92.92112,384.02097
,265.56583,410.21948,102.283,375.73624
,197.41272,463.50827,97.9635,379.0303
,81.370384,554.25494,96.57571,381.20978
,128.33919,517.5299,99.45126,378.99783
,61.391727,569.87634,95.35257,382.15063
,85.966896,550.66095,96.85712,380.99332
,21.67676,600.92957,92.92112,384.02097
,21.67676,600.92957,92.92112,384.02097
,21.67676,600.92957,92.92112,384.02097
,220.64104,445.3457,99.265785,378.00528
,152.99698,498.24533,98.91582,379.01193
,21.67676,600.92957,92.92112,384.02097
,199.18427,462.12515,98.99564,378.41605
,21.67676,600.92957,92.92112,384.02097
,274.9197,402.9017,101.09178,376.30948
,133.12752,513.7855,99.58873,378.86182
,21.67676,600.92957,92.92112,384.02097
,97.55388,541.601,97.56651,380.44766
,267.71555,408.53748,101.90899,375.9256
,21.67676,600.92957,92.92112,384.02097
,85.48954,551.0342,96.827896,381.0158
,21.67676,600.92957,92.92112,384.02097
,177.77197,478.86942,98.55602,378.92368
,62.98639,568.62946,95.4502,382.07556
,81.615,554.0637,96.59068,381.19827
,21.67676,600.92957,92.92112,384.02097
,25.415874,598.006,93.15003,383.84488
,21.67676,600.92957,92.92112,384.02097
,232.96098,435.71176,99.61381,377.65857
,85.3214,551.16565,96.817604,381.0237
,21.67676,600.92957,92.92112,384.02097
,164.93674,488.90057,95.63207,380.75696
,21.67676,600.92957,92.92112,384.02097
,196.44214,464.26697,97.83596,379.11517
,154.53363,497.03458,94.9103,381.29565
,21.67676,600.92957,92.92112,384.02097
,192.08083,467.67996,98.83691,378.5919
,21.67676,600.92957,92.92112,384.02097
,130.1128,516.1431,99.559845,378.91434
,284.18268,395.66028,102.267395,375.52353
,81.819626,553.9037,96.60322,381.18863
,21.67676,600.92957,92.92112,384.02097
,69.1404,563.8176,95.82696,381.7857
,175.70737,480.4799,96.6907,380.0203
,89.47188,547.9204,97.07171,380.82825
,21.67676,600.92957,92.92112,384.02097
,159.587,493.08377,95.413704,380.94617
,21.67676,600.92957,92.92112,384.02097
,224.64438,442.2166,100.03182,377.51736
,21.67676,600.92957,92.92112,384.02097
,21.67676,600.92957,92.92112,384.02097
,192.46991,467.37653,99.1942,378.3819
,172.84753,482.71603,96.5571,380.1311
,50.321457,578.5322,94.67482,382.672
,21.67676,600.92957,92.92112,384.02097
,202.7998,459.2971,98.74858,378.51495
,234.64426,434.3959,99.82807,377.51535
,246.48254,425.14053,101.052895,376.67047
,21.67676,600.92957,92.92112,384.02097
,21.67676,600.92957,92.92112,384.02097
,21.67676,600.92957,92.92112,384.02097
,173.98419,481.8272,96.57713,380.10608
,21.67676,600.92957,92.92112,384.02097
,21.67676,600.92957,92.92112,384.02097
,79.99267,555.3322,96.49137,381.27466
,44.978855,582.7096,94.347725,382.92358
,88.6454,548.5666,97.02111,380.86716
,21.67676,600.92957,92.92112,384.02097
,258.90662,415.42645,101.92001,376.02417
,21.67676,600.92957,92.92112,384.02097
,21.67676,600.92957,92.92112,384.02097
,21.67676,600.92957,92.92112,384.02097
,92.23082,545.7631,97.240616,380.69833
,21.67676,600.92957,92.92112,384.02097
,21.67676,600.92957,92.92112,384.02097
,21.67676,600.92957,92.92112,384.02097
,188.86566,470.19305,98.25747,378.96317
,60.92043,570.2448,95.323715,382.17282
,232.10464,436.3813,99.5387,377.7119
,21.67676,600.92957,92.92112,384.02097
,115.9896,527.1861,98.69519,379.57944
,78.21012,556.72595,96.38224,381.35858
,21.67676,600.92957,92.92112,384.02097
,21.67676,600.92957,92.92112,384.02097
,203.42177,458.81534,100.81735,377.31863
,263.84183,411.56223,99.8572,377.15094
,21.67676,600.92957,92.92112,384.02097
,117.13794,526.2882,98.765495,379.52536
,21.67676,600.92957,92.92112,384.02097
,21.67676,600.92957,92.92112,384.02097
,21.67676,600.92957,92.92112,384.02097
,144.02034,505.26083,96.87533,380.29153
,156.18242,495.74878,96.50727,380.35822
,21.67676,600.92957,92.92112,384.02097
,167.77203,486.686,96.85593,380.0198
,62.94645,568.6607,95.447754,382.07745
,21.67676,600.92957,92.92112,384.02097
,64.523346,567.42773,95.5443,382.00314
,21.67676,600.92957,92.92112,384.02097
,21.67676,600.92957,92.92112,384.02097
,134.40623,512.7861,99.82271,378.71213
,21.67676,600.92957,92.92112,384.02097
,130.76437,515.63367,99.59974,378.88364
,69.4731,563.5575,95.84733,381.77008
,119.691216,524.29175,98.92181,379.4051
,74.7594,559.42413,96.170975,381.52112
,21.67676,600.92957,92.92112,384.02097
,44.51246,583.0743,94.319176,382.94553
,135.8899,511.62598,99.913536,378.64227
,21.67676,600.92957,92.92112,384.02097
,21.67676,600.92957,92.92112,384.02097
,158.8552,493.66064,97.44697,379.78635
,129.13539,516.90735,99.50001,378.96036
,115.51224,527.5593,98.66596,379.60193
,120.52619,523.6389,98.97294,379.36578
,103.480545,536.967,97.92935,380.16855
,58.66585,572.0077,95.185684,382.27902
,178.74149,478.11194,98.85835,378.73837
,98.64071,540.7512,97.63305,380.39645
,170.54236,484.52798,100.63347,377.81583
,114.12949,528.6405,98.581314,379.66702
,117.72088,525.8324,98.801186,379.4979
,90.717606,546.94635,97.14797,380.76956
,21.67676,600.92957,92.92112,384.02097
,146.45654,503.36044,99.011,379.03513
,87.669136,549.32996,96.961334,380.91315
,21.67676,600.92957,92.92112,384.02097
,142.92287,506.11987,97.23279,380.09918
,26.18553,597.4042,93.19716,383.80862
,21.67676,600.92957,92.92112,384.02097
,75.41658,558.9103,96.21121,381.49017
,56.97197,573.33215,95.08198,382.3588
,228.48102,439.21603,99.93594,377.52676
,98.97999,540.48596,97.653824,380.38046
,21.67676,600.92957,92.92112,384.02097
,231.59239,436.78333,100.16353,377.35892
,71.912605,561.65,95.99668,381.65518
,204.99738,457.58017,99.48294,378.06677
,49.420345,579.2368,94.61965,382.71442
,194.18202,466.03494,98.03496,379.0277
,21.67676,600.92957,92.92112,384.02097
,21.67676,600.92957,92.92112,384.02097
,21.67676,600.92957,92.92112,384.02097
,111.96361,530.33405,98.44871,379.769
,70.37866,562.8494,95.90277,381.72745
,21.67676,600.92957,92.92112,384.02097
,158.36787,494.04144,97.30396,379.87433
,80.37831,555.0307,96.51498,381.2565
,118.94466,524.8755,98.87611,379.44025
,97.57667,541.58325,97.5679,380.44656
,21.67676,600.92957,92.92112,384.02097
,104.92648,535.83636,98.017876,380.10043
,21.67676,600.92957,92.92112,384.02097
,186.7022,471.88474,98.13401,379.05988
,21.67676,600.92957,92.92112,384.02097
,21.67676,600.92957,92.92112,384.02097
,55.052353,574.8331,94.96446,382.4492
,101.00511,538.9025,97.7778,380.2851
,118.99449,524.83655,98.87916,379.43793
,67.16545,565.3618,95.70605,381.87875
,21.67676,600.92957,92.92112,384.02097
,258.26407,415.92603,100.637375,376.76898
,105.804214,535.1501,98.07161,380.05908
,222.7889,443.66492,98.78747,378.2546
,57.078316,573.249,95.08849,382.3538
,81.501396,554.1525,96.58373,381.20358
,21.67676,600.92957,92.92112,384.02097
,73.0116,560.7907,96.06397,381.60342
,110.484085,531.49084,98.35812,379.8387
,126.84716,518.69653,99.35992,379.0681
,21.67676,600.92957,92.92112,384.02097
,94.60004,543.91064,97.38567,380.58673
,21.67676,600.92957,92.92112,384.02097
,54.669857,575.1322,94.94104,382.4672
,162.96512,490.4446,96.58299,380.23392
,39.48571,587.0047,94.01143,383.18228
,83.37537,552.68726,96.69846,381.11536
,21.67676,600.92957,92.92112,384.02097
,196.4656,464.24774,97.44991,379.33676
,21.67676,600.92957,92.92112,384.02097
,21.67676,600.92957,92.92112,384.02097
,189.52423,469.6796,98.95504,378.5544
,21.67676,600.92957,92.92112,384.02097
,239.23764,430.80655,101.130165,376.71234
,21.67676,600.92957,92.92112,384.02097
,129.008,517.00696,99.49221,378.96634
,131.69122,514.90845,99.4378,378.96567
,150.6411,500.08728,98.72891,379.14743
,226.20894,440.98935,98.352005,378.46414
,212.41011,451.7816,98.81684,378.3613
,75.5428,558.8116,96.21894,381.48422
,21.67676,600.92957,92.92112,384.02097
,215.40944,449.434,97.91464,378.8441
,114.924706,528.01874,98.63,379.62958
,51.251026,577.80536,94.73173,382.6282
,82.14212,553.65155,96.62296,381.17343
,114.218704,528.57074,98.58677,379.6628
,21.67676,600.92957,92.92112,384.02097
,178.05449,478.64566,97.290344,379.6477
,21.67676,600.92957,92.92112,384.02097
,21.67676,600.92957,92.92112,384.02097
,21.67676,600.92957,92.92112,384.02097
,168.17068,486.3715,95.62989,380.7197
,129.25587,516.8132,99.507385,378.95468
,236.5625,432.89758,100.63814,377.02698
,77.13801,557.5643,96.3166,381.4091
,21.67676,600.92957,92.92112,384.02097
,180.21504,476.95474,96.7267,379.94592
,187.08061,471.58878,98.125824,379.0601
,21.67676,600.92957,92.92112,384.02097
,47.872963,580.44666,94.52492,382.7873
,139.74493,508.61172,100.14955,378.46072
,186.3623,472.1555,100.35152,377.7895
,184.59882,473.53674,101.299065,377.26593
,87.10217,549.77325,96.92663,380.93985
,21.67676,600.92957,92.92112,384.02097
,118.5834,525.158,98.85399,379.4573
,21.67676,600.92957,92.92112,384.02097
,127.99618,517.7981,99.43027,379.01398
,21.67676,600.92957,92.92112,384.02097
,68.98097,563.94226,95.8172,381.79324
,106.58859,534.53674,98.11964,380.0222
,112.83928,529.64935,98.50232,379.7278
,21.67676,600.92957,92.92112,384.02097
,122.91543,521.77075,99.11921,379.25327
,21.67676,600.92957,92.92112,384.02097
,106.96009,534.24634,98.14238,380.00467
,112.83928,529.64935,98.50232,379.7278
,184.3903,473.69174,97.696335,379.33896
,21.67676,600.92957,92.92112,384.02097
,21.67676,600.92957,92.92112,384.02097
,83.09515,552.9064,96.681305,381.12854
,21.67676,600.92957,92.92112,384.02097
,21.67676,600.92957,92.92112,384.02097
,21.67676,600.92957,92.92112,384.02097
,21.67676,600.92957,92.92112,384.02097
,21.67676,600.92957,92.92112,384.02097
,230.12273,437.93283,100.23661,377.3344
,21.67676,600.92957,92.92112,384.02097
,21.67676,600.92957,92.92112,384.02097
,21.67676,600.92957,92.92112,384.02097
,21.67676,600.92957,92.92112,384.02097
,21.67676,600.92957,92.92112,384.02097
,73.20039,560.64307,96.07553,381.59454
,54.627453,575.16534,94.938446,382.4692
,79.69614,555.5641,96.473206,381.28864
,158.88997,493.6317,96.662025,380.23706
,209.61063,453.97086,98.77363,378.4195
,181.84315,475.68085,96.4085,380.1094
,185.85196,472.54697,96.96018,379.74463
,21.67676,600.92957,92.92112,384.02097
,21.67676,600.92957,92.92112,384.02097
,21.67676,600.92957,92.92112,384.02097
,21.67676,600.92957,92.92112,384.02097
,228.79964,438.96387,98.598885,378.2914
,196.15692,464.4988,101.7326,376.87912
,21.67676,600.92957,92.92112,384.02097
,21.67676,600.92957,92.92112,384.02097
,129.04236,516.9801,99.49431,378.96472
,188.3629,470.58,95.47413,380.56876
,21.67676,600.92957,92.92112,384.02097
,173.46323,482.23923,98.64371,378.9246
,61.463173,569.8205,95.35695,382.14728
,77.93928,556.93774,96.365654,381.37134
,60.929474,570.2378,95.324265,382.17242
,139.10712,509.10532,97.82569,379.80386
,256.3003,417.46735,103.110504,375.37103
,83.72288,552.4155,96.719734,381.099
,260.78116,413.95712,100.44207,376.85126
,73.41438,560.47577,96.08863,381.58447
,199.9613,461.5168,98.69447,378.5799
,21.67676,600.92957,92.92112,384.02097
,200.13821,461.37872,98.824295,378.50314
,213.32411,451.06918,99.871925,377.74405
,78.00211,556.8886,96.3695,381.3684
