,,,,name,x1,x2,y1,y2
1474723840903DSC08089.png,,,,,152.95956,503.4796,79.95154,420.50864
1473231475010DeeplearnS11276.png,,,,,93.06537,550.4009,217.95177,347.12683
JPEG_20161205_135307_1000155917326.png,,,,,150.66005,505.28107,85.2498,417.69128
JPEG_20160711_123440_1000518778437.png,,,,,149.11604,506.49063,88.80729,415.79956
JPEG_20160803_115329_100034020722.png,,,,,150.84618,505.13525,84.82097,417.91928
147444974116511473239803010-Mast--Harbour-Men-Blue-Printed-Regular-Boat-Shoes-3651473239802717-2.png,,,,,183.51923,479.53912,9.540109,457.95
JPEG_20160622_110649_1000527459853.png,,,,,109.43645,537.57574,180.23172,367.18454
JPEG_20160823_120737_1000784898268.png,,,,,148.57697,506.91296,90.04937,415.13913
1480965956645IMG_3094.png,,,,,137.31607,515.73474,115.99519,401.34238
14732348976417a565e40d545452688130062b267a2d2.png,,,,,161.46317,496.81787,60.358696,430.92715
1474723374370DSC07852.png,,,,,195.34514,470.27466,-17.70759,472.439
JPEG_20160820_111118_100011668802.png,,,,,153.50214,503.05457,78.701485,421.17337
JPEG_20160706_105226_100087855419.png,,,,,95.154465,548.7643,213.13832,349.68637
JPEG_20160621_155839_100073846506.png,,,,,145.4241,509.3829,97.31375,411.27625
1480940089861_R2A1904.png,,,,,121.54741,528.08795,152.32726,382.02277
1474637513144DSC06780.png,,,,,159.57271,498.2989,64.71447,428.61096
JPEG_20161123_170015_1000183903221.png,,,,,192.22447,472.7194,-10.517409,468.61563
JPEG_20161205_152655_1000319785884.png,,,,,142.68944,511.52527,103.614624,407.92578
14806550588121473324459p2-500x500.png,,,,,157.5992,499.8449,69.26154,426.19305
JPEG_20160913_110021_1000554801748.png,,,,,107.73924,538.9053,184.14218,365.10513
JPEG_20161028_113656_1000884495593.png,,,,,148.353,507.08838,90.56542,414.8647
1480485006674IMG_20161129_181135.png,,,,,112.58806,535.10675,172.97018,371.04584
1468666217374JPEG_20160712_164026_1000951901481.png,,,,,64.248184,572.9763,284.34848,311.8203
1475159286472DSC08150.png,,,,,149.1101,506.4953,88.820946,415.79233
1473662770499DeeplearnS11593.png,,,,,146.99435,508.15277,93.6958,413.2001
JPEG_20161121_172423_1000451802749.png,,,,,107.2451,539.2924,185.2807,364.4997
JPEG_20160711_112635_1000386061474.png,,,,,78.68127,561.6694,251.0937,329.50357
JPEG_20161125_170806_1000294132098.png,,,,,167.18526,492.33517,47.17464,437.9378
1473664771684DeeplearnS11641.png,,,,,91.892715,551.3195,220.65366,345.6901
JPEG_20161125_142000_1000881308475.png,,,,,166.11516,493.1735,49.64022,436.6267
JPEG_20161118_130619_1000234318180.png,,,,,143.27222,511.0687,102.27183,408.6398
JPEG_20161126_173920_1000722732321.png,,,,,166.97865,492.497,47.65067,437.68466
1480965914378IMG_3091.png,,,,,78.65986,561.68616,251.14302,329.47736
JPEG_20161028_113801_1000834228994.png,,,,,149.64722,506.07452,87.58341,416.45038
JPEG_20160527_132045_1000754722948.png,,,,,187.25845,476.6098,0.9246626,462.53128
1474630500639DSC08168.png,,,,,147.16817,508.01663,93.29534,413.41306
1480604337122_R2A5871.png,,,,,152.09613,504.15604,81.94099,419.45074
JPEG_20160526_131015_1000774672877.png,,,,,147.66974,507.62366,92.13968,414.0276
JPEG_20161124_133820_1000408773191.png,,,,,179.90248,482.37247,17.873285,453.51883
JPEG_20161202_175058_1000981167934.png,,,,,98.53459,546.1163,205.35031,353.8277
JPEG_20160628_125830_1000217908431.png,,,,,107.2451,539.2924,185.2807,364.4997
JPEG_20160820_160507_1000249071692.png,,,,,70.82868,567.8211,269.18655,319.8827
JPEG_20160805_183420_1000172602371.png,,,,,97.0979,547.24176,208.66057,352.06744
JPEG_20161130_165327_1000403284746.png,,,,,72.15205,566.7844,266.13745,321.50406
JPEG_20160607_164241_1000166500949.png,,,,,128.96483,522.27716,135.23705,391.1105
JPEG_20160625_121426_1000756352197.png,,,,,96.035934,548.0737,211.1074,350.76633
147771816901820161028_154719.png,,,,,122.31335,527.4879,150.56248,382.96118
JPEG_20161011_163049_1000951839162.png,,,,,79.589294,560.958,249.00153,330.6161
JPEG_20161117_185714_1000710683582.png,,,,,146.16428,508.80307,95.60836,412.1831
JPEG_20161130_152547_1000951985749.png,,,,,107.54553,539.05707,184.5885,364.8678
JPEG_20161208_180645_1000228838877.png,,,,,172.01743,488.54965,36.041004,443.85812
JPEG_20161028_115228_1000768175676.png,,,,,90.56459,552.36,223.71373,344.0629
JPEG_20160621_115706_1000438377463.png,,,,,143.29639,511.04977,102.21618,408.66937
147323496557220.png,,,,,182.8288,480.08,11.130903,457.1041
1480962299073_R2A2486.png,,,,,91.59509,551.5527,221.33937,345.32547
JPEG_20160513_161529_1000492237814.png,,,,,133.38078,518.8177,125.06237,396.5209
JPEG_20160608_170951_1000543663668.png,,,,,152.40833,503.91144,81.22166,419.83325
1480950503293_R2A2117.png,,,,,151.9137,504.29895,82.361305,419.22723
JPEG_20160513_105913_1000783887544.png,,,,,166.9315,492.53394,47.75932,437.6269
JPEG_20160627_110121_1000892338177.png,,,,,101.693985,543.6412,198.07086,357.69855
JPEG_20161130_161732_1000521112629.png,,,,,168.88606,491.00278,43.255844,440.0216
